species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,name,lat,lon
Gentoo,Biscoe,46.5,14.8,217,5200,Female,Victoria Blair,-64.74238889,-63.78773027
Gentoo,Biscoe,46.4,15,216,4700,Female,Molly Price,-64.73141257,-63.79822019
Gentoo,Biscoe,48.6,16,230,5800,Male,Julia Rowland,-64.72652188,-63.84284338
Gentoo,Biscoe,47.5,14.2,209,4600,Female,Zachary Anderson,-64.75919178,-63.7851655
Gentoo,Biscoe,51.1,16.3,220,6000,Male,Kenneth Dunlap,-64.76047586,-63.7831269
Gentoo,Biscoe,45.2,13.8,215,4750,Female,Paige May,-64.74270348,-63.82453825
Gentoo,Biscoe,45.2,16.4,223,5950,Male,Elizabeth Williams,-64.73633328,-63.80367829
Gentoo,Biscoe,49.1,14.5,212,4625,Female,Claudia Gibson,-64.74476098,-63.7736654
Gentoo,Biscoe,52.5,15.6,221,5450,Male,Veronica Anderson,-64.7285989,-63.74640647
Gentoo,Biscoe,47.4,14.6,212,4725,Female,Crystal Holmes,-64.76516665,-63.79645845
Gentoo,Biscoe,50,15.9,224,5350,Male,Meghan James,-64.76671641,-63.77934371
Gentoo,Biscoe,44.9,13.8,212,4750,Female,Carolyn Holloway,-64.7477675,-63.77869658
Gentoo,Biscoe,50.8,17.3,228,5600,Male,Dr. Ashley Price,-64.74402187,-63.7855373
Gentoo,Biscoe,43.4,14.4,218,4600,Female,Gregory Ross,-64.76770169,-63.79673977
Gentoo,Biscoe,51.3,14.2,218,5300,Male,Joel Bass,-64.70547418,-63.76175971
Gentoo,Biscoe,47.5,14,212,4875,Female,Elizabeth Wilson,-64.72529306,-63.80066651
Gentoo,Biscoe,52.1,17,230,5550,Male,Robert Green,-64.72214352,-63.77916457
Gentoo,Biscoe,47.5,15,218,4950,Female,Cheryl Lyons,-64.74405829,-63.79077407
Gentoo,Biscoe,52.2,17.1,228,5400,Male,John Gonzales,-64.74933251,-63.77736695
Gentoo,Biscoe,45.5,14.5,212,4750,Female,Christine Sutton,-64.72781552,-63.81447475
Gentoo,Biscoe,49.5,16.1,224,5650,Male,Christine Jones,-64.70140652,-63.81041846
Gentoo,Biscoe,44.5,14.7,214,4850,Female,Gerald Lin,-64.73666707,-63.76871879
Gentoo,Biscoe,50.8,15.7,226,5200,Male,Andrew Patel,-64.79938892,-63.77806324
Gentoo,Biscoe,49.4,15.8,216,4925,Male,Daniel Jennings,-64.71848998,-63.80384261
Gentoo,Biscoe,46.9,14.6,222,4875,Female,Walter Robinson,-64.77935024,-63.75746033
Gentoo,Biscoe,48.4,14.4,203,4625,Female,Bethany Garcia,-64.76905018,-63.77603256
Gentoo,Biscoe,51.1,16.5,225,5250,Male,Stacey Mcgee,-64.73357293,-63.78868132
Gentoo,Biscoe,48.5,15,219,4850,Female,Megan Perez,-64.72260744,-63.76395769
Gentoo,Biscoe,55.9,17,228,5600,Male,Daniel Adams,-64.72990184,-63.79701259
Gentoo,Biscoe,47.2,15.5,215,4975,Female,Jonathan Adams,-64.75192973,-63.7997992
Gentoo,Biscoe,49.1,15,228,5500,Male,Robert Lindsey,-64.7654887,-63.76807894
Gentoo,Biscoe,46.8,16.1,215,5500,Male,Lisa White,-64.70698531,-63.81589523
Gentoo,Biscoe,41.7,14.7,210,4700,Female,Lisa Levy,-64.72862896,-63.75502192
Gentoo,Biscoe,53.4,15.8,219,5500,Male,Christian Waters,-64.79123056,-63.79604424
Gentoo,Biscoe,43.3,14,208,4575,Female,Crystal Ramos,-64.74458277,-63.78859227
Gentoo,Biscoe,48.1,15.1,209,5500,Male,John Baird,-64.75232232,-63.79217793
Gentoo,Biscoe,50.5,15.2,216,5000,Female,Ian Cline,-64.70830816,-63.81999778
Gentoo,Biscoe,49.8,15.9,229,5950,Male,Ms. Kristen Wagner,-64.73820306,-63.8163447
Gentoo,Biscoe,43.5,15.2,213,4650,Female,Susan Stark,-64.76037811,-63.80379174
Gentoo,Biscoe,51.5,16.3,230,5500,Male,Julia Farrell,-64.74656865,-63.78663691
Gentoo,Biscoe,46.2,14.1,217,4375,Female,Wendy Garcia,-64.74309709,-63.8150067
Gentoo,Biscoe,55.1,16,230,5850,Male,Rebecca Bell,-64.72203067,-63.75000356
Gentoo,Biscoe,48.8,16.2,222,6000,Male,Gina Horn,-64.76935081,-63.79764289
Gentoo,Biscoe,47.2,13.7,214,4925,Female,Oscar Tran,-64.75810009,-63.7864426
Gentoo,Biscoe,46.8,14.3,215,4850,Female,Joel Lee,-64.7430557,-63.81928448
Gentoo,Biscoe,50.4,15.7,222,5750,Male,Anthony Garrett,-64.70658428,-63.79742279
Gentoo,Biscoe,45.2,14.8,212,5200,Female,Erica Cole,-64.72972761,-63.81702405
Gentoo,Biscoe,49.9,16.1,213,5400,Male,Sara Watts,-64.71278228,-63.7904063
